id,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10
288,559754996,15096992,537.668,12,12,0,4,16,0,1
257,369552248,23722120,359.035,8,8,0,4,16,0,1
252,332913029,53632872,316.519,9,9,0,4,16,0,0
379,384355314,48931064,361.433,12,12,0,4,16,0,1
292,208854452,56233456,205.548,12,12,0,4,16,0,2
219,184346598,76756464,182.232,12,12,0,4,16,0,2
471,358443003,22132728,353.832,8,8,0,4,16,0,2
5,841644,3157520,0.921,8,8,0,4,16,0,1
145,87328208,53689360,86.32,12,12,0,4,16,0,1
404,350824149,77359544,345.486,8,8,0,4,16,0,1
467,381369628,63834248,375.474,12,12,0,4,16,0,1
444,361136534,50165568,356.805,8,8,0,4,16,0,1
24,713720,1843544,0.777,8,8,0,4,16,0,1
43,720955,1843616,0.764,8,8,0,4,16,0,1
333,258034752,52000448,255.123,8,8,0,4,16,0,1
71,867474,1669720,0.912,8,8,0,4,16,0,2
474,341082501,51921608,336.7,8,8,0,4,16,0,1
146,85960517,17633184,85.242,12,12,0,4,16,0,1
136,91692259,25645064,90.975,12,12,0,4,16,0,2
487,329523123,22391160,325.897,8,8,0,4,16,0,2
345,262952562,47113160,259.718,8,8,0,4,16,0,1
245,179615352,21781768,177.073,12,12,0,4,16,0,1
271,170182076,35065784,167.668,12,12,0,4,16,0,1
109,88415341,62818096,87.672,9,9,0,4,16,0,0
318,272220819,11618368,266.696,9,9,0,4,16,0,0
377,265551760,5310824,258.642,12,12,0,4,16,0,1
420,375385678,31137032,363.525,8,8,0,4,16,0,2
319,294811358,72565080,287.74,8,8,0,4,16,0,2
309,253357275,7278600,249.519,8,8,0,4,16,0,2
196,95877598,45578344,93.373,12,12,0,4,16,0,1
383,253664868,36445376,249.21,8,8,0,4,16,0,1
122,86960187,57039008,86.222,8,8,0,4,16,0,2
70,774721,1540672,0.836,8,8,0,4,16,0,1
472,337879019,69588360,333.102,12,12,0,4,16,0,2
167,90919372,37447968,89.969,12,12,0,4,16,0,0
430,371843616,78326664,365.717,8,8,0,4,16,0,2
408,348667549,43577912,344.072,12,12,0,4,16,0,2
93,741576,1496848,0.786,12,12,0,4,16,0,1
166,82157707,53989184,81.43,12,12,0,4,16,0,1
199,88252392,52757288,86.288,12,12,0,4,16,0,1
313,247676038,23672808,241.968,12,12,0,4,16,0,1
344,259148743,75847400,254.533,12,12,0,4,16,0,1
392,272488926,60598912,268.663,12,12,0,4,16,0,2
431,339042080,65409040,334.178,8,8,0,4,16,0,1
210,176714262,55629168,173.883,8,8,0,4,16,0,1
121,92249072,32749800,90.946,12,12,0,4,16,0,0
172,85078450,35728784,84.38,9,9,0,4,16,0,0
131,89373679,36650216,88.499,8,8,0,4,16,0,1
270,173601570,1819640,171.342,12,12,0,4,16,0,1
81,878001,1713328,0.897,12,12,0,4,16,0,1
289,177329497,15847264,173.627,9,9,0,4,16,0,0
26,732426,1589208,0.762,8,8,0,4,16,0,1
305,265626429,22614400,259.639,8,8,0,4,16,0,1
331,270267225,38710680,265.036,12,12,0,4,16,0,2
242,178446293,74929248,175.17,12,12,0,4,16,0,1
169,84713776,42409688,84.072,12,12,0,4,16,0,1
348,269118932,73849584,266.212,8,8,0,4,16,0,1
34,701133,1608392,0.745,8,8,0,4,16,0,1
77,795983,1608464,0.842,12,12,0,4,16,0,1
88,699934,1608992,0.735,12,12,0,4,16,0,1
223,168301335,29836192,166.004,8,8,0,4,16,0,2
183,84642446,52509520,83.925,12,12,0,4,16,0,1
201,165642691,42258296,163.563,12,12,0,4,16,0,1
406,339375197,32964432,334.584,12,12,0,4,16,0,2
254,173675060,49680488,172.191,8,8,0,4,16,0,2
373,265026457,3844168,261.842,12,12,0,4,16,0,1
450,355497686,6500280,350.514,9,9,0,4,16,0,0
62,783813,3206264,0.834,12,12,0,4,16,0,0
215,173548911,34371624,171.293,8,8,0,4,16,0,2
68,775179,1507144,0.819,8,8,0,4,16,0,1
78,847082,1507216,0.891,8,8,0,4,16,0,2
466,337503034,52721008,333.177,8,8,0,4,16,0,1
295,172178708,27429696,170.465,9,9,0,4,16,0,0
346,249759151,52291768,247.338,12,12,0,4,16,0,1
243,178408351,70673312,176.834,12,12,0,4,16,0,2
115,87316505,36255144,86.616,9,9,0,4,16,0,0
370,256416595,22582040,252.879,12,12,0,4,16,0,1
114,86429774,42246880,85.41,9,9,0,4,16,0,0
212,178796026,32926320,176.582,9,9,0,4,16,0,0
378,260611386,24200056,256.657,12,12,0,4,16,0,1
143,82221798,43737608,81.536,12,12,0,4,16,0,1
107,88657897,43897208,87.869,12,12,0,4,16,0,1
442,350854256,82313024,346.478,8,8,0,4,16,0,1
91,866167,1755800,0.913,8,8,0,4,16,0,2
478,343748449,24238512,339.272,12,12,0,4,16,0,0
213,187193752,1845776,184.51,9,9,0,4,16,0,0
41,776648,1738904,0.823,12,12,0,4,16,0,0
351,246559785,60648816,243.637,9,9,0,4,16,0,0
138,100740376,51510952,99.311,8,8,0,4,16,0,2
358,269824585,121236744,259.608,12,12,0,4,16,0,1
105,96770715,5201808,95.796,8,8,0,4,16,0,1
429,347354691,42941656,344.133,9,9,0,4,16,0,0
385,247987692,66220624,245.901,12,12,0,4,16,0,1
488,345112710,27145296,340.945,12,12,0,4,16,0,1
154,92114192,47642576,91.399,9,9,0,4,16,0,0
119,89543596,41028432,88.74,12,12,0,4,16,0,2
262,171726135,16026752,169.508,8,8,0,4,16,0,1
6,799620,1610328,0.821,8,8,0,4,16,0,1
423,349134092,69674008,344.221,9,9,0,4,16,0,0
111,85968455,22454032,85.103,12,12,0,4,16,0,1
263,172070584,60118736,170.508,8,8,0,4,16,0,2
208,164794774,63994512,163.317,12,12,0,4,16,0,1
156,87108190,38988464,86.282,12,12,0,4,16,0,2
42,795988,1787552,0.841,12,12,0,4,16,0,2
409,345268557,32255968,340.568,8,8,0,4,16,0,2
7,795840,1550808,0.843,8,8,0,4,16,0,1
341,247924850,84894776,244.899,8,8,0,4,16,0,1
117,91513317,52208336,90.703,12,12,0,4,16,0,0
159,88631757,42523968,87.737,12,12,0,4,16,0,1
329,259056344,8853232,255.397,12,12,0,4,16,0,1
193,89120676,62774928,88.269,9,9,0,4,16,0,0
390,272268983,44216800,268.444,8,8,0,4,16,0,2
38,792139,1938520,0.838,8,8,0,4,16,0,1
218,174501477,87163888,173.125,9,9,0,4,16,0,0
53,900842,1822064,0.931,8,8,0,4,16,0,2
297,179135269,1813000,176.858,8,8,0,4,16,0,2
150,143471341,52729736,130.9,9,9,0,4,16,0,0
380,271438431,11772600,266.392,9,9,0,4,16,0,0
396,260291383,21809616,255.844,12,12,0,4,16,0,1
61,714201,1993128,0.743,12,12,0,4,16,0,1
416,352579934,62413224,348.036,9,9,0,4,16,0,0
230,171067052,80431368,168.493,12,12,0,4,16,0,1
176,90118877,46349720,88.212,12,12,0,4,16,0,2
296,195752869,26811864,192.256,12,12,0,4,16,0,2
251,172812090,46094920,170.512,12,12,0,4,16,0,2
495,361701377,85723504,354.298,12,12,0,4,16,0,0
171,88286085,17542232,86.725,12,12,0,4,16,0,2
455,367583778,98060408,363.127,12,12,0,4,16,0,2
153,88399476,34300264,87.455,8,8,0,4,16,0,1
59,858088,1921664,0.902,8,8,0,4,16,0,2
3,834865,1921736,0.858,8,8,0,4,16,0,2
389,276210987,37928360,272.032,9,9,0,4,16,0,0
221,186502441,14503480,182.659,12,12,0,4,16,0,1
412,319444265,42281440,315.285,12,12,0,4,16,0,1
376,255477319,81611160,252.315,12,12,0,4,16,0,2
388,267767880,31414384,264.499,12,12,0,4,16,0,1
492,348206680,46262456,343.719,9,9,0,4,16,0,0
335,252456796,18469312,249.232,12,12,0,4,16,0,1
284,178584813,24793040,176.408,12,12,0,4,16,0,2
366,252243096,22213136,248.793,12,12,0,4,16,0,0
113,90038557,48135528,89.384,12,12,0,4,16,0,1
